Anchor_ID,Usage_Count
b138,4131
b004,4325
b143,2685
b087,703
b001,2128
b107,165
b090,334
b144,370
b089,175
b151,193
b064,556
b142,3356
b105,1653
b137,196
b158,362
b062,167
b055,24
b069,328
b072,28
b084,156
b106,1937
b095,214
b166,617
b161,81
b063,868
b078,100
b031,2876
b061,218
b083,3727
b060,1331
b139,2125
b088,600
b141,2216
b077,216
b082,850
b096,591
b156,185
b149,221
b043,1467
b108,182
b052,35
b057,141
b024,62
b023,179
b099,912
b048,38
b049,155
b053,25
b021,18
b102,573
b136,74
b100,725
b171,281
b164,639
b051,35
b059,3443
b015,80
b044,1556
b073,135
b160,147
b163,116
b157,167
b145,440
b098,316
b113,51
b111,65
b134,84
b115,37
b114,74
b080,94
b085,1016
b116,32
b037,30
b159,72
b027,464
b165,310
b074,156
b091,417
b035,103
b118,249
b117,86
b154,175
b148,125
b120,133
b036,32
b040,23
b135,108
b029,144
b086,16
b068,123
b070,71
b039,67
b038,773
b056,52
b129,101
b079,953
b066,24
b127,144
b125,84
b030,113
b041,972
b028,115
b132,83
b094,158
b121,49
b092,133
b122,44
b123,181
b167,212
b162,106
b140,93
b119,12
b150,95
b170,300
b013,50
b017,48
b018,40
b016,29
b110,15
b076,58
b126,576
b081,51
b046,88
b097,462
b045,166
b012,82
b014,54
b009,55
b104,17
b071,21
b169,1697
b002,1643
b025,152
b026,148
b006,114
b042,2
b011,21
b065,36
b020,28
b168,97
b128,842
b147,10
b047,35
b155,27
b007,68
b131,19
b093,13
b033,43
b032,59
b008,127
b103,35
b152,19
b153,2
b101,30
b010,28
b054,9
b130,40
b019,17
