Anchor_ID,Usage_Count
b138,1189
b140,325
b042,84
b078,239
b080,85
b164,327
b040,152
b039,53
b098,176
b085,938
b141,4450
b142,2536
b167,709
b001,2691
b061,3238
b053,2274
b149,209
b157,51
b148,273
b020,226
b022,152
b105,953
b097,199
b166,325
b106,3966
b021,318
b150,163
b017,274
b154,336
b077,133
b031,3167
b145,188
b144,256
b161,61
b069,401
b082,1902
b139,33
b036,195
b158,10
b095,238
b033,140
b143,2225
b087,43
b058,283
b056,299
b019,204
b059,3615
b171,76
b027,42
b159,144
b165,129
b070,364
b076,294
b072,216
b026,21
b057,192
b107,97
b108,30
b170,203
b003,1158
b025,64
b006,66
b083,1567
b073,444
b169,1354
b002,1474
b156,123
b066,38
b086,28
b008,1076
b096,14
b047,470
b029,38
b049,292
b045,237
b048,112
b028,36
b062,191
b050,170
b041,128
b060,129
b084,221
b007,62
b063,584
b081,141
b160,298
b088,146
b052,133
b055,160
b163,98
b094,11
b118,118
b123,155
b135,107
b079,413
b109,15
b074,312
b064,317
b151,303
b011,40
b065,154
b035,81
b129,52
b127,37
b130,35
b131,10
b132,25
b075,46
b034,151
b068,41
b092,20
b004,2271
b016,141
b005,29
b168,261
b044,21
b046,35
b024,44
b117,7
b112,27
b110,24
b147,20
b093,103
b038,87
b013,99
b015,62
b043,14
b018,42
b101,14
b104,10
b102,10
b099,30
b100,8
b032,30
b037,116
b114,14
b111,6
b125,32
b122,99
b089,169
b121,59
b124,71
b155,8
b054,57
b023,13
b010,95
b090,76
b009,78
b051,27
