HCP_ID,Event_Count
n022,1601
n020,2042
n004,6423
n005,5189
n028,4694
ss041,3290
n015,2241
pr018,3388
n045,1246
n034,2016
n016,6793
ss049,1730
n048,8414
pr025,6052
n002,2044
n032,6926
n041,6953
n038,4184
n024,6587
n049,9587
n009,9409
n035,9928
n001,4832
n031,2783
n047,6206
n019,7861
n042,5016
n013,4519
n036,4762
n037,2716
n021,7776
pr045,7814
n007,2049
ss048,2380
n012,3750
n046,2168
n026,3663
n044,4947
pr010,2464
pr044,3267
pr006,1966
ss027,3163
n033,6282
n030,6684
n008,7080
pr003,3029
pr029,2671
n043,5770
n003,4397
ss039,2798
ss017,478
pr012,225
pr034,5120
pr007,5561
pr019,5257
ss004,3936
ss044,298
pr017,1068
pr043,3197
ss031,1378
ss038,3777
n023,2174
pr022,1996
n050,1848
ss047,1898
pr038,3106
pr033,4205
pr005,20
pr020,2635
n017,60
n011,105
ss010,2066
ss011,219
n027,764
ss029,15
ss043,952
ss009,893
ss046,519
n010,45
n039,45
