,sink,computer,vitals,door
n019,0,0,0,0
ss044,0,0,0,0
pr025,0,0,0,0
pr019,0,0,0,0
n047,0,0,0,0
ss010,0,0,0,0
pr018,0,0,0,0
n008,0,0,0,0
ss017,0,0,0,0
n014,0,0,0,0
pr001,0,0,0,0
ss039,0,0,0,0
n023,0,0,0,0
n010,0,0,0,0
n045,0,0,0,0
pr038,0,0,0,0
ss036,0,0,0,0
n032,0,0,0,0
pr003,0,0,0,0
n044,0,0,0,0
n029,0,0,0,0
n003,0,0,0,0
ss043,0,0,0,0
n026,0,0,0,0
n002,0,0,0,0
pr043,0,0,0,0
n017,0,0,0,0
ss049,0,0,0,0
pr046,0,0,0,0
ss041,0,0,0,0
n027,0,0,0,0
n013,0,0,0,0
n020,0,0,0,0
n034,0,0,0,0
pr004,0,0,0,0
pr029,0,0,0,0
n049,0,0,0,0
n043,0,0,0,0
pr048,0,0,0,0
n011,0,0,0,0
n050,0,0,0,0
pr017,0,0,0,0
n001,0,0,0,0
pr041,0,0,0,0
pr045,0,0,0,0
pr006,0,0,0,0
ss009,0,0,0,0
n022,0,0,0,0
pr012,0,0,0,0
n005,0,0,0,0
n024,0,0,0,0
n046,0,0,0,0
n048,0,0,0,0
pr030,0,0,0,0
n037,0,0,0,0
n040,0,0,0,0
n018,0,0,0,0
ss034,0,0,0,0
pr044,0,0,0,0
pr022,0,0,0,0
ss027,0,0,0,0
n038,0,0,0,0
ss011,0,0,0,0
n004,0,0,0,0
n028,0,0,0,0
ss048,0,0,0,0
n039,0,0,0,0
pr010,0,0,0,0
n041,0,0,0,0
n031,0,0,0,0
n009,0,0,0,0
n042,0,0,0,0
ss030,0,0,0,0
pr034,0,0,0,0
n033,0,0,0,0
ss024,0,0,0,0
ss029,0,0,0,0
n030,0,0,0,0
n012,0,0,0,0
n035,0,0,0,0
ss022,0,0,0,0
n007,0,0,0,0
n036,0,0,0,0
