,sink,computer,vitals,door
ss044,2701,2348,2054,571
pr019,20,580,45,75
n047,2235,6393,4421,3213
ss010,28,128,204,145
ss017,0,555,56,95
pr001,553,1526,320,76
ss039,882,490,360,280
n023,635,5120,3155,904
n010,278,905,224,199
n045,0,10,0,0
pr038,680,3520,1030,230
n032,2027,2317,1034,2292
pr003,87,306,912,634
n044,2627,4736,5463,1366
n003,2273,6729,4330,1601
ss043,0,70,0,125
n002,0,10,0,0
pr043,391,194,186,1233
n017,60,259,95,277
ss049,275,615,1255,355
pr046,364,30,169,621
ss041,2023,1706,816,3397
n027,0,10,0,0
n020,0,90,0,0
n034,0,75,0,15
pr004,678,918,641,253
n049,4098,4778,2157,1251
pr048,207,241,547,174
n011,0,10,0,12
pr017,284,80,457,1546
n001,1710,2470,1328,669
pr041,65,135,587,325
pr006,50,40,590,20
ss009,7842,857,7672,2162
pr012,1085,714,248,1125
n005,3837,6342,3360,1972
n024,6252,4155,6521,2901
n048,1624,2448,3881,1131
pr030,373,1499,928,204
n018,0,0,0,10
ss034,4062,2334,1530,1675
pr044,1040,740,547,119
ss027,13,4455,26,2496
n038,5693,6228,7352,2684
ss011,370,70,32,128
n004,6164,6417,8982,2195
n028,2826,4879,9377,1926
ss048,20,20,0,30
n039,2131,2331,4226,3138
pr010,518,795,653,889
n041,1954,3939,7527,2537
n031,2586,3388,4026,2782
n042,2648,5269,4965,1698
ss030,1829,2270,5403,1062
pr034,100,66,1163,1736
n033,273,69,213,235
ss024,79,141,34,300
ss029,1205,1321,3495,1435
n035,4558,4306,7136,2098
ss022,0,248,35,348
n007,295,855,365,65
n036,3202,2768,1133,880
